id,GV_CURBWGT,GV_DVLAT,GV_DVLONG,GV_ENERGY,GV_LANES,GV_MODELYR,GV_OTVEHWGT,GV_SPLIMIT,GV_WGTCDTR,OA_AGE,OA_BAGDEPLY,OA_HEIGHT,OA_MAIS,OA_SEX,OA_WEIGHT,VE_ORIGAVTW,VE_WHEELBAS,VE_PDOF_TR,GV_FOOTPRINT,Sample
2,s05_1555_1675,s11_n10_0,s13_n20_n6,s02_113_167,4,2005,s09_1855_2075,s5_40_50,Passenger Car,s05_40_50,Deployed,s3_170_180,1,Male,s2_70_100,152,270,s3_125_135,s2_4_5,1
110,s04_1335_1555,s11_n10_0,s13_n20_n6,s01_below_113,4,2005,s04_1135_1335,s4_30_40,Truck (<=6000 lbs.),s06_50_60,Not Deployed,s2_165_170,1,Female,s3_100_130,156,262,s5_175_up,s2_4_5,1
185,s05_1555_1675,s11_n10_0,s12_n28_n20,s02_113_167,2,2003,s06_1455_1575,s4_30_40,Passenger Car,s03_20_30,Not Deployed,s4_180_up,1,Male,s4_130_up,157,276,s4_135_175,s2_4_5,1
268,s05_1555_1675,s13_3_13,s13_n20_n6,s08_577_717,2,2003,s05_1335_1455,s3_20_30,Passenger Car,s09_80_90,Not Deployed,s2_165_170,1,Female,s1_below_70,157,277,s2_95_125,s2_4_5,1
378,s04_1335_1555,s11_n10_0,s12_n28_n20,s06_366_468,5,2002,s07_1575_1695,s5_40_50,Passenger Car,s03_20_30,Deployed,s3_170_180,1,Male,s1_below_70,151,263,s4_135_175,s1_below_4,1
488,s04_1335_1555,s15_17_25,s13_n20_n6,s10_877_1099,2,2004,s03_1010_1135,s6_50_60,Passenger Car,s05_40_50,Deployed,s4_180_up,1,Male,s2_70_100,150,272,s2_95_125,s2_4_5,1
573,s05_1555_1675,s14_13_17,s14_n6_1,s05_290_366,2,2008,s10_2075_2255,s3_20_30,Passenger Car,s05_40_50,Not Deployed,s1_below_165,1,Female,s2_70_100,156,284,s1_below_95,s2_4_5,1
685,s04_1335_1555,s12_0_3,s13_n20_n6,s03_167_230,2,2007,s08_1695_1855,s5_40_50,Passenger Car,s02_10_20,Not Deployed,s3_170_180,1,Female,s1_below_70,154,273,s4_135_175,s2_4_5,1
793,s03_1035_1335,s09_n26_n16,s15_1_17,s05_290_366,4,2008,s04_1135_1335,s4_30_40,Passenger Car,s03_20_30,Not Deployed,s1_below_165,1,Female,s1_below_70,154,265,s5_175_up,s2_4_5,1
881,s04_1335_1555,s13_3_13,s12_n28_n20,s03_167_230,5,2005,s09_1855_2075,s5_40_50,Passenger Car,s06_50_60,Deployed,s3_170_180,1,Male,s2_70_100,150,272,s2_95_125,s2_4_5,1
988,s05_1555_1675,s11_n10_0,s13_n20_n6,s04_230_290,2,2006,s05_1335_1455,s4_30_40,Truck (<=6000 lbs.),s03_20_30,Deployed,s1_below_165,1,Female,s1_below_70,150,282,s4_135_175,s2_4_5,1
1106,s05_1555_1675,s13_3_13,s12_n28_n20,s07_468_577,5,2002,s07_1575_1695,s5_40_50,Passenger Car,s03_20_30,Deployed,s1_below_165,1,Female,s1_below_70,151,270,s2_95_125,s2_4_5,1
1213,s03_1035_1335,s13_3_13,s12_n28_n20,s03_167_230,2,2002,s06_1455_1575,s5_40_50,Passenger Car,s02_10_20,Deployed,s3_170_180,1,Female,s2_70_100,149,262,s2_95_125,s1_below_4,1
1294,s06_1675_1935,s13_3_13,s13_n20_n6,s11_1099_1433,7,2005,s07_1575_1695,s4_30_40,Truck (<=6000 lbs.),s04_30_40,Deployed,s3_170_180,1,Female,s2_70_100,170,315,s5_175_up,s3_5_6,1
1408,s07_1935_2075,s09_n26_n16,s18_39_53,s01_below_113,3,2006,s07_1575_1695,s6_50_60,Truck (<=10000 lbs.),s04_30_40,Not Deployed,s4_180_up,1,Female,s3_100_130,156,296,s5_175_up,s2_4_5,1
1517,s06_1675_1935,s16_25_31,s11_n38_n28,s13_1833_2554,2,2001,s07_1575_1695,s3_20_30,Truck (<=6000 lbs.),s09_80_90,Deployed,s3_170_180,1,Male,s2_70_100,162,303,s2_95_125,s2_4_5,1
1631,s04_1335_1555,s14_13_17,s13_n20_n6,s02_113_167,2,2007,s10_2075_2255,s3_20_30,Passenger Car,s06_50_60,Not Deployed,s4_180_up,1,Male,s3_100_130,153,278,s1_below_95,s2_4_5,1
1730,s04_1335_1555,s13_3_13,s13_n20_n6,s03_167_230,1,2008,s08_1695_1855,s2_10_20,Truck (<=6000 lbs.),s06_50_60,Not Deployed,s4_180_up,1,Female,s2_70_100,155,263,s3_125_135,s2_4_5,1
1812,s06_1675_1935,s12_0_3,s14_n6_1,s06_366_468,3,2009,s10_2075_2255,s4_30_40,Passenger Car,s07_60_70,Not Deployed,s4_180_up,1,Male,s2_70_100,154,262,s5_175_up,s2_4_5,1
1932,s03_1035_1335,s13_3_13,s08_n64_n54,s14_2554_3893,3,2002,s14_2645_2800,s8_70_up,Passenger Car,s08_70_80,Not Deployed,s3_170_180,1,Male,s2_70_100,149,262,s1_below_95,s1_below_4,1
2023,s03_1035_1335,s13_3_13,s11_n38_n28,s08_577_717,5,2005,s09_1855_2075,s5_40_50,Passenger Car,s02_10_20,Deployed,s1_below_165,1,Female,s1_below_70,149,262,s3_125_135,s1_below_4,1
2110,s06_1675_1935,s13_3_13,s13_n20_n6,s01_below_113,2,2006,s08_1695_1855,s2_10_20,Passenger Car,s02_10_20,Not Deployed,s1_below_165,1,Female,s1_below_70,147,272,s1_below_95,s1_below_4,1
2201,s04_1335_1555,s09_n26_n16,s13_n20_n6,s07_468_577,5,2001,s04_1135_1335,s5_40_50,Passenger Car,s04_30_40,Deployed,s2_165_170,1,Female,s2_70_100,155,272,s5_175_up,s2_4_5,1
