GV_CURBWGT,GV_DVLAT,GV_DVLONG,GV_ENERGY,GV_LANES,GV_MODELYR,GV_OTVEHWGT,GV_SPLIMIT,GV_WGTCDTR,OA_AGE,OA_BAGDEPLY,OA_HEIGHT,OA_MAIS,OA_MANUSE,OA_SEX,OA_WEIGHT,VE_GAD1,VE_ORIGAVTW,VE_WHEELBAS,VE_PDOF_TR,GV_FOOTPRINT
1500,10,-54,1908,2,2006,1570,55,Passenger Car,73,Deployed,155,3,1,Female,68,Front,158,276,125,4.3608
1200,0,-49,1905,2,2002,1200,50,Passenger Car,19,Deployed,168,1,1,Female,54,Front,151,260,135,3.926
1880,-9,-50,1904,2,2007,1340,25,Truck (<=6000 lbs.),28,Deployed,170,1,1,Female,78,Front,168,303,145,5.0904
1190,38,-22,1901,2,2000,1610,30,Passenger Car,36,Deployed,185,3,1,Female,112,Left,146,254,75,3.7084
1550,0,-53,1895,2,2000,1610,45,Passenger Car,32,Deployed,178,3,0,Female,77,Front,154,257,135,3.9578
1370,30,-35,1890,4,2003,2040,30,Passenger Car,40,Not Deployed,173,6,1,Female,143,Left,151,272,95,4.1072
1070,12,-66,1889,3,2000,1360,35,Passenger Car,43,Deployed,165,2,0,Female,77,Front,148,262,125,3.8776
1590,-33,-40,1884,4,2002,2510,35,Truck (<=6000 lbs.),46,Deployed,157,1,1,Female,64,Right,144,265,175,3.816
1510,-9,-51,1879,2,2000,1370,30,Passenger Car,49,Deployed,170,3,0,Female,78,Front,154,272,145,4.1888
1210,13,-72,1872,2,2000,1560,55,Passenger Car,17,Deployed,155,4,1,Female,80,Front,145,264,125,3.828
1240,-8,-46,1864,2,2007,1070,35,Passenger Car,23,Deployed,160,3,1,Female,109,Front,148,262,145,3.8776
1790,37,-7,1859,3,2007,1640,70,Truck (<=6000 lbs.),23,Not Deployed,147,1,0,Female,94,Left,161,285,55,4.5885
1160,-10,-54,1855,2,2000,2160,40,Passenger Car,22,Deployed,163,3,0,Female,61,Front,148,267,145,3.9516
1160,46,-27,1846,3,2000,1740,35,Passenger Car,36,Deployed,175,4,1,Female,74,Left,148,267,75,3.9516
2740,12,-33,1843,2,2000,1615,55,Truck (<=10000 lbs.),16,Deployed,157,0,1,Female,57,Front,174,396,115,6.8904
1380,-22,-37,1841,2,2002,1490,55,Passenger Car,28,Deployed,173,1,1,Female,61,Front,151,272,165,4.1072
1200,-36,-21,1840,2,2002,1060,55,Passenger Car,19,Deployed,152,2,1,Female,50,Right,145,264,195,3.828
1990,10,-28,1836,2,2001,1520,35,Truck (<=6000 lbs.),48,Deployed,163,1,1,Female,57,Front,169,270,115,4.563
2180,9,-49,1833,5,2007,2230,35,Truck (<=6000 lbs.),50,Deployed,173,4,1,Female,86,Front,166,284,125,4.7144
1390,-34,-29,1829,5,2000,1800,5,Passenger Car,18,Not Deployed,170,1,1,Female,59,Right,140,257,185,3.598
2340,-27,-22,1813,5,2004,1830,50,Truck (<=10000 lbs.),55,Not Deployed,173,1,1,Female,61,Right,166,295,185,4.897
1570,0,-52,1810,2,2004,1740,55,Passenger Car,48,Deployed,150,3,1,Female,109,Front,156,281,135,4.3836
1340,11,-64,1807,2,2008,1560,40,Passenger Car,29,Deployed,170,1,0,Female,78,Front,149,261,125,3.8889
1210,-13,-72,1800,2,2004,2500,35,Passenger Car,15,Deployed,165,1,1,Female,57,Front,145,256,145,3.712
2030,-8,-43,1797,2,2000,1840,50,Truck (<=6000 lbs.),15,Deployed,157,0,1,Female,53,Front,150,284,145,4.26
2180,0,38,1797,2,2004,2180,65,Truck (<=6000 lbs.),26,Deployed,173,1,1,Female,100,Rear,152,265,315,4.028
1460,0,50,1797,5,2002,1920,45,Passenger Car,46,Not Deployed,170,1,1,Female,64,Rear,152,275,315,4.18
1990,33,-19,1795,3,2004,2130,30,Truck (<=6000 lbs.),60,Deployed,160,6,0,Female,83,Left,142,312,75,4.4304
2130,0,-29,1795,4,2007,1440,25,Truck (<=6000 lbs.),29,Deployed,168,1,1,Female,64,Front,165,284,135,4.686
2210,8,-43,1793,2,2004,2140,55,Truck (<=10000 lbs.),35,Deployed,170,1,0,Female,78,Front,158,328,125,5.1824
1500,0,-53,1788,2,2003,1660,35,Passenger Car,76,Deployed,160,2,1,Female,48,Front,146,265,135,3.869
1710,0,41,1779,4,2006,1260,40,Passenger Car,68,Not Deployed,170,0,1,Female,31,Rear,159,293,315,4.6587
1360,-40,-23,1770,5,2000,890,45,Truck (<=6000 lbs.),31,Deployed,163,4,0,Female,61,Right,146,248,195,3.6208
1810,-22,-37,1764,2,2004,1630,55,Truck (<=6000 lbs.),36,Deployed,157,2,1,Female,48,Right,152,265,165,4.028
1390,28,-24,1759,5,2000,1620,25,Passenger Car,43,Not Deployed,178,2,1,Female,50,Left,150,270,85,4.05
1230,14,-78,1753,2,2006,2310,30,Passenger Car,21,Deployed,157,2,1,Female,54,Front,148,257,125,3.8036
1220,11,-62,1750,2,2005,1190,55,Passenger Car,43,Deployed,165,3,1,Female,57,Front,146,259,125,3.7814
1870,6,-36,1750,2,2001,1320,45,Truck (<=6000 lbs.),44,Deployed,150,3,1,Female,52,Front,152,265,125,4.028
1080,-9,-50,1749,2,2002,1820,50,Passenger Car,33,Deployed,170,4,1,Female,78,Front,143,260,145,3.718
1140,0,62,1741,6,2006,2410,40,Passenger Car,51,Not Deployed,163,1,1,Female,54,Rear,146,260,315,3.796
1430,0,-58,1736,3,2003,1880,30,Passenger Car,27,Deployed,183,1,1,Female,68,Front,150,272,135,4.08
1870,-12,-34,1735,2,2001,1390,45,Truck (<=6000 lbs.),37,Deployed,157,1,1,Female,59,Front,152,265,155,4.028
1140,0,52,1734,2,2007,1140,35,Passenger Car,26,Not Deployed,168,3,1,Female,82,Rear,146,260,315,3.796
1160,0,-59,1732,5,2005,1615,45,Passenger Car,34,Deployed,147,3,0,Female,50,Front,147,262,135,3.8514
2610,16,-44,1728,2,2005,2070,55,Truck (<=10000 lbs.),37,Deployed,165,3,0,Female,82,Front,168,330,115,5.544
2370,9,-49,1721,4,2001,1590,45,Truck (<=10000 lbs.),55,Deployed,152,1,1,Female,59,Front,167,330,125,5.511
1380,-48,-28,1719,2,2001,1690,30,Passenger Car,21,Deployed,160,1,1,Female,66,Right,149,256,195,3.8144
1800,46,-17,1717,5,2002,1550,35,Passenger Car,23,Deployed,173,3,1,Female,82,Left,159,293,65,4.6587
1870,0,-38,1716,2,2000,1250,25,Truck (<=6000 lbs.),43,Deployed,170,3,1,Female,79,Front,142,272,135,3.8624
1450,0,42,1716,4,2005,1470,45,Passenger Car,77,Not Deployed,163,2,1,Female,82,Rear,155,280,315,4.34
1960,6,-34,1715,2,2002,1000,45,Truck (<=6000 lbs.),47,Deployed,170,1,1,Female,78,Front,168,300,125,5.04
1910,-34,-6,1708,4,2002,1510,50,Truck (<=6000 lbs.),30,Not Deployed,173,1,1,Female,68,Right,153,265,215,4.0545
1870,6,36,1696,2,2005,1760,35,Truck (<=6000 lbs.),33,Not Deployed,170,1,1,Female,78,Rear,161,303,325,4.8783
1640,7,-38,1691,2,2003,1550,30,Truck (<=6000 lbs.),21,Deployed,170,2,0,Female,78,Front,139,255,125,3.5445
1720,-26,-44,1683,2,2000,1540,55,Truck (<=6000 lbs.),29,Deployed,178,2,0,Female,95,Front,152,265,165,4.028
1540,-42,-24,1682,5,2008,2170,45,Truck (<=6000 lbs.),50,Deployed,170,2,1,Female,78,Right,154,262,195,4.0348
2190,13,-23,1678,2,2004,1580,55,Truck (<=10000 lbs.),43,Deployed,170,0,1,Female,64,Front,166,364,105,6.0424
1510,0,-76,1669,3,2002,1830,55,Passenger Car,23,Deployed,157,4,1,Female,59,Front,148,272,135,4.0256
1340,-42,8,1667,4,2003,1040,30,Passenger Car,23,Not Deployed,175,5,1,Female,82,Right,150,251,235,3.765
1160,-34,-28,1667,6,2001,2410,40,Passenger Car,33,Deployed,152,4,0,Female,59,Right,149,262,185,3.9038
1510,0,-52,1665,2,2000,1615,45,Passenger Car,27,Deployed,163,0,1,Female,68,Front,154,257,135,3.9578
1380,0,56,1665,3,2003,2060,60,Truck (<=6000 lbs.),26,Deployed,155,1,1,Female,59,Rear,148,249,315,3.6852
1750,35,-29,1663,2,2006,1920,25,Truck (<=6000 lbs.),34,Deployed,155,2,1,Female,95,Left,162,288,85,4.6656
1450,0,-47,1662,2,2000,1280,55,Passenger Car,40,Deployed,173,1,1,Female,95,Front,154,274,135,4.2196
1390,-44,-8,1658,2,2000,2190,50,Passenger Car,16,Not Deployed,163,4,1,Female,49,Right,150,272,215,4.08
