id,GV_CURBWGT,GV_DVLAT,GV_DVLONG,GV_ENERGY,GV_LANES,GV_MODELYR,GV_OTVEHWGT,GV_SPLIMIT,GV_WGTCDTR,OA_AGE,OA_BAGDEPLY,OA_HEIGHT,OA_MAIS,OA_SEX,OA_WEIGHT,VE_ORIGAVTW,VE_WHEELBAS,VE_PDOF_TR,GV_FOOTPRINT,Sample
9341,s05_1555_1675,s09_n26_n16,s13_n20_n6,s07_468_577,6,2001,s10_2075_2255,s4_30_40,Passenger Car,s08_70_80,Deployed,s1_below_165,4,Female,s1_below_70,s05_151_159,277,185,s2_4_5,1
9378,s04_1335_1555,s18_44_56,s11_n38_n28,s11_1099_1433,2,2003,s06_1455_1575,s4_30_40,Passenger Car,s03_20_30,Not Deployed,s3_170_180,4,Male,s1_below_70,s05_151_159,274,55,s2_4_5,1
9392,s05_1555_1675,s13_3_13,s14_n6_1,s09_717_877,3,2001,s06_1455_1575,s4_30_40,Passenger Car,s08_70_80,Deployed,s4_180_up,4,Female,s3_100_130,s05_151_159,285,135,s2_4_5,1
9529,s03_1035_1335,s16_25_31,s14_n6_1,s05_290_366,2,2004,s09_1855_2075,s5_40_50,Passenger Car,s04_30_40,Not Deployed,s1_below_165,4,Female,s2_70_100,s04_145_151,260,55,s1_below_4,1
9551,s04_1335_1555,s12_0_3,s09_n54_n48,s11_1099_1433,2,2001,s11_2255_2400,s3_20_30,Passenger Car,s09_80_90,Not Deployed,s1_below_165,4,Female,s1_below_70,s05_151_159,277,95,s2_4_5,1
9678,s04_1335_1555,s07_n41_n33,s11_n38_n28,s13_1833_2554,4,2004,s11_2255_2400,s5_40_50,Passenger Car,s03_20_30,Deployed,s1_below_165,4,Female,s2_70_100,s05_151_159,274,185,s2_4_5,1
9684,s10_2350_2570,s12_0_3,s11_n38_n28,s13_1833_2554,2,2006,s16_2955_3205,s6_50_60,Truck (<=10000 lbs.),s05_40_50,Not Deployed,s2_165_170,4,Female,s2_70_100,s08_169_176,357,185,s4_6_7,1
9747,s08_2075_2210,s12_0_3,s14_n6_1,s09_717_877,2,2001,s05_1335_1455,s6_50_60,Truck (<=10000 lbs.),s02_10_20,Not Deployed,s3_170_180,4,Male,s2_70_100,s07_163_169,364,265,s4_6_7,1
9795,s06_1675_1935,s11_n10_0,s09_n54_n48,s13_1833_2554,2,2000,s06_1455_1575,s6_50_60,Truck (<=6000 lbs.),s07_60_70,Deployed,s1_below_165,4,Female,s1_below_70,s06_159_163,303,145,s2_4_5,1
10122,s05_1555_1675,s17_31_44,s09_n54_n48,s14_2554_3893,5,2001,s06_1455_1575,s3_20_30,Passenger Car,s03_20_30,Deployed,s2_165_170,4,Male,s1_below_70,s05_151_159,275,95,s2_4_5,1
10133,s03_1035_1335,s08_n33_n26,s13_n20_n6,s13_1833_2554,2,2005,s06_1455_1575,s1_below_10,Passenger Car,s05_40_50,Deployed,s1_below_165,4,Female,s1_below_70,s04_145_151,262,295,s1_below_4,1
10295,s06_1675_1935,s15_17_25,s13_n20_n6,s08_577_717,2,2000,s05_1335_1455,s3_20_30,Passenger Car,s05_40_50,Not Deployed,s3_170_180,4,Male,s1_below_70,s05_151_159,291,65,s2_4_5,1
10309,s04_1335_1555,s11_n10_0,s10_n48_n38,s11_1099_1433,2,2005,s05_1335_1455,s5_40_50,Passenger Car,s03_20_30,Deployed,s3_170_180,4,Female,s2_70_100,s05_151_159,274,75,s2_4_5,1
10355,s04_1335_1555,s11_n10_0,s13_n20_n6,s06_366_468,3,2002,s07_1575_1695,s8_70_up,Passenger Car,s05_40_50,Not Deployed,s1_below_165,4,Female,s1_below_70,s04_145_151,272,235,s2_4_5,1
10398,s04_1335_1555,s12_0_3,s11_n38_n28,s06_366_468,3,2006,s06_1455_1575,s8_70_up,Passenger Car,s04_30_40,Deployed,s4_180_up,4,Male,s2_70_100,s05_151_159,273,135,s2_4_5,1
10469,s03_1035_1335,s07_n41_n33,s12_n28_n20,s12_1433_1833,6,2001,s12_2400_2535,s5_40_50,Passenger Car,s04_30_40,Deployed,s1_below_165,4,Female,s1_below_70,s04_145_151,262,185,s1_below_4,1
10493,s10_2350_2570,s17_31_44,s12_n28_n20,s10_877_1099,4,2005,s10_2075_2255,s5_40_50,Truck (<=6000 lbs.),s04_30_40,Deployed,s4_180_up,4,Male,s3_100_130,s06_159_163,303,125,s2_4_5,1
10650,s05_1555_1675,s08_n33_n26,s11_n38_n28,s14_2554_3893,2,2003,s09_1855_2075,s3_20_30,Passenger Car,s07_60_70,Deployed,s1_below_165,4,Female,s1_below_70,s05_151_159,272,175,s2_4_5,1
