id,GV_CURBWGT,GV_DVLAT,GV_DVLONG,GV_ENERGY,GV_LANES,GV_MODELYR,GV_OTVEHWGT,GV_SPLIMIT,GV_WGTCDTR,OA_AGE,OA_BAGDEPLY,OA_HEIGHT,OA_MAIS,OA_SEX,OA_WEIGHT,VE_ORIGAVTW,VE_WHEELBAS,VE_PDOF_TR,GV_FOOTPRINT
2610,2390,14,-2,205,3,2008,2140,55,Truck (<=10000 lbs.),44,Not Deployed,178,1,Male,102,172,370,55,6.364
2611,2300,-11,-18,382,4,2004,1540,45,Truck (<=10000 lbs.),82,Deployed,178,1,Male,86,172,355,165,6.106
2612,2530,17,-20,1754,3,2006,2480,45,Truck (<=10000 lbs.),48,Deployed,185,0,Male,122,171,368,95,6.2928
2613,2480,-20,-17,518,3,2007,2530,45,Truck (<=10000 lbs.),32,Not Deployed,178,1,Male,113,173,364,185,6.2972
2614,1200,-45,-16,2426,5,2004,1060,35,Passenger Car,27,Deployed,170,4,Male,64,147,253,205,3.7191
2615,2870,-5,-26,936,4,2008,1410,35,Truck (<=10000 lbs.),52,Not Deployed,165,0,Male,82,175,438,145,7.665
2616,1250,3,-11,639,2,2008,1200,45,Passenger Car,62,Not Deployed,170,0,Male,77,148,260,115,3.848
2617,1590,-6,-7,69,4,2001,1300,35,Passenger Car,42,Deployed,168,0,Female,70,149,269,175,4.0081
2618,1620,8,-16,352,4,2007,1400,30,Passenger Car,33,Deployed,165,0,Female,59,151,276,125,4.1676
2619,1600,0,20,286,3,2005,1390,65,Passenger Car,31,Not Deployed,173,0,Male,109,158,274,315,4.3292
2620,2240,9,-16,322,4,2003,1420,40,Truck (<=10000 lbs.),20,Deployed,157,1,Male,86,173,295,135,5.1035
2621,2080,8,-21,276,3,2004,1820,45,Truck (<=6000 lbs.),45,Deployed,180,1,Male,93,170,295,115,5.015
2622,1530,-6,-33,1000,3,2005,1470,35,Passenger Car,22,Deployed,173,3,Male,70,155,270,145,4.185
2623,1200,-23,-28,1251,4,2003,1220,35,Passenger Car,21,Deployed,163,2,Female,84,144,248,175,3.5712
2624,1440,-16,-9,1237,5,2003,1620,35,Passenger Car,32,Deployed,170,1,Female,113,150,251,185,3.765
2625,1080,12,-15,330,3,2007,1810,40,Passenger Car,47,Deployed,180,2,Male,82,147,250,95,3.675
2626,1250,0,13,92,5,2009,1390,35,Passenger Car,61,Not Deployed,170,0,Male,88,148,260,305,3.848
